symbol,source,model,rmse
AAPL,TP4,Régression linéaire,3.031464023636059
MSFT,TP4,Régression linéaire,5.13826639808574
AMZN,TP4,Régression linéaire,3.323860140886895
GOOGL,TP4,Régression linéaire,2.4948434466919993
META,TP4,Régression linéaire,8.801466835864963
TSLA,TP4,Régression linéaire,9.467078144255057
NVDA,TP4,Régression linéaire,2.146140892883494
005930.KS,TP4,Régression linéaire,1078.9509826077358
TCEHY,TP4,Régression linéaire,1.480246274036442
BABA,TP4,Régression linéaire,4.180267522662052
IBM,TP4,Régression linéaire,2.483885763512122
INTC,TP4,Régression linéaire,1.005857052614554
ORCL,TP4,Régression linéaire,2.3299275302731854
SONY,TP4,Régression linéaire,0.3398704697865956
ADBE,TP4,Régression linéaire,10.713866105113404
NFLX,TP4,Régression linéaire,13.22441793740376
AMD,TP4,Régression linéaire,3.555614633147833
QCOM,TP4,Régression linéaire,3.5584116060682733
CSCO,TP4,Régression linéaire,0.7351656191747175
JPM,TP4,Régression linéaire,2.628250213327352
GS,TP4,Régression linéaire,6.87830572487565
V,TP4,Régression linéaire,3.36260439875342
JNJ,TP4,Régression linéaire,1.6867245850488857
PFE,TP4,Régression linéaire,0.6286691137690299
XOM,TP4,Régression linéaire,1.5462040450880463
ASML.AS,TP4,Régression linéaire,14.388519487554422
SAP.DE,TP4,Régression linéaire,2.402313122577168
SIE.DE,TP4,Régression linéaire,2.6945525409153572
MC.PA,TP4,Régression linéaire,11.610719564933856
TTE.PA,TP4,Régression linéaire,0.7899355430334718
SHEL.L,TP4,Régression linéaire,34.03941986550234
BIDU,TP4,Régression linéaire,4.95279429348742
JD,TP4,Régression linéaire,1.8983218249872904
BYDDY,TP4,Régression linéaire,1.9322574117162925
1398.HK,TP4,Régression linéaire,0.0649787836150369
TM,TP4,Régression linéaire,2.7503472402927343
9984.T,TP4,Régression linéaire,192.76995804053828
NTDOY,TP4,Régression linéaire,0.2420511400544998
HYMTF,TP4,Régression linéaire,1.2840702555480883
RELIANCE.NS,TP4,Régression linéaire,17.74409130284196
TCS.NS,TP4,Régression linéaire,46.66878964794812
AAPL,TP5,MLP,5.181845026039146
MSFT,TP5,LSTM,20.095711648148175
AMZN,TP5,MLP,6.796318510256304
GOOGL,TP5,MLP,4.262825962927385
META,TP5,MLP,14.96090520730398
TSLA,TP5,MLP,15.716917838385225
NVDA,TP5,MLP,1.833948396914919
005930.KS,TP5,RNN,2764.917616294054
TCEHY,TP5,MLP,2.9189794501263844
BABA,TP5,MLP,7.63589841624976
IBM,TP5,LSTM,5.902401201372367
INTC,TP5,MLP,1.927577987596958
ORCL,TP5,MLP,3.5332097015362116
SONY,TP5,MLP,0.6925486925936705
ADBE,TP5,RNN,20.94931433133135
NFLX,TP5,LSTM,54.02938748484747
AMD,TP5,MLP,5.919892562115792
QCOM,TP5,MLP,5.219633535612875
CSCO,TP5,MLP,1.248307983765133
JPM,TP5,LSTM,8.944645798467256
GS,TP5,LSTM,28.991778606766097
V,TP5,MLP,5.074433915506308
JNJ,TP5,RNN,3.66991038544607
PFE,TP5,MLP,2.122929240719218
XOM,TP5,MLP,6.148268041788476
ASML.AS,TP5,MLP,26.41324536214825
SAP.DE,TP5,MLP,3.2754397247782867
SIE.DE,TP5,MLP,3.692685700011162
MC.PA,TP5,RNN,32.570437358973805
TTE.PA,TP5,MLP,1.4684998800692952
SHEL.L,TP5,MLP,126.22778572982187
BIDU,TP5,MLP,10.980683025848847
JD,TP5,MLP,3.8383454504724126
BYDDY,TP5,MLP,4.911382319818426
1398.HK,TP5,MLP,0.0931116355450784
TM,TP5,MLP,5.365786879639924
9984.T,TP5,MLP,273.98071157744465
NTDOY,TP5,MLP,0.2944170724247106
HYMTF,TP5,MLP,1.8008019784146367
RELIANCE.NS,TP5,MLP,30.154022781950076
TCS.NS,TP5,MLP,98.32012608269565
